season,team,league_position,elites,non-elites,missing,excluded,talent_position,elite_collective_talent,non-elite_collective_talent
'10-11',ATL,13,4,8,1,4,1,78.1,91.8
'10-11',MIA,3,3,10,0,4,2,84.1,116.40000000000002
'10-11',LAL,5,3,6,0,7,3,65.0,74.88823529411765
'10-11',NYK,15,3,6,2,9,4,65.0,86.10000000000001
'10-11',NOH,12,3,7,2,7,5,61.5228432563791,99.5
'10-11',DEN,9,3,9,1,6,6,61.3,131.29999999999998
'10-11',SAS,2,2,6,2,10,7,47.2,89.0
'10-11',ORL,8,2,10,0,5,8,42.7,149.7
'10-11',MIL,21,2,10,1,4,9,41.0,134.84385920841305
'10-11',MEM,11,2,6,3,8,10,40.5,83.0
'10-11',CHI,1,2,8,1,4,11,39.900000000000006,105.89999999999999
'10-11',UTA,18,2,6,3,6,12,39.6,83.1
'10-11',BOS,6,2,8,2,9,13,38.5,117.5
'10-11',OKC,7,1,9,0,8,14,26.2,116.5
'10-11',DAL,4,1,9,1,7,15,22.9,119.3024552618148
'10-11',GSW,20,1,7,2,7,16,22.2,98.89999999999999
'10-11',PHO,17,1,11,1,6,17,21.6,163.43423249839435
'10-11',POR,10,1,8,1,8,18,21.3,129.49662921348315
'10-11',MIN,30,1,9,2,5,19,20.7,117.39999999999999
'10-11',NJN,25,1,6,3,12,20,20.1,80.2
'10-11',IND,19,1,11,2,1,21,19.8,141.60000000000002
'10-11',CHA,22,1,8,3,7,22,19.6,111.36655737704919
'10-11',SAC,26,1,9,2,4,23,18.922843256379103,131.2
'10-11',WAS,27,1,8,5,9,24,18.7,107.16209716209717
'10-11',DET,24,0,10,2,1,25,0,145.1
'10-11',HOU,14,0,9,2,9,26,0,128.35260257195347
'10-11',PHI,16,0,8,2,5,27,0,120.49999999999999
'10-11',LAC,23,0,9,3,5,28,0,129.7
'10-11',CLE,29,0,10,4,5,29,0,132.6303408146301
'10-11',TOR,28,0,9,4,9,30,0,124.60000000000001
'11-12',LAL,6,4,5,1,7,1,87.3,58.2
'11-12',MIA,4,3,5,2,6,2,72.3,50.760589473684206
'11-12',SAS,2,3,6,3,9,3,63.99999999999999,86.7
'11-12',CHI,1,3,7,1,3,4,61.099999999999994,96.99999999999999
'11-12',OKC,3,2,6,2,6,5,47.2,84.00000000000001
'11-12',LAC,9,2,8,0,8,6,45.599999999999994,114.02459542694443
'11-12',ORL,12,2,7,1,6,7,45.1,83.10578167369962
'11-12',NYK,14,2,7,5,3,8,44.46822973464195,102.1034574468085
'11-12',DAL,13,2,5,4,5,9,42.8,73.8474890297416
'11-12',BOS,10,2,5,4,6,10,40.3,71.5
'11-12',UTA,15,2,6,4,3,11,39.900000000000006,73.25323868677907
'11-12',PHO,18,2,8,2,1,12,39.6,103.1
'11-12',MIN,21,1,8,3,3,13,24.3,101.0
'11-12',MEM,7,1,8,0,8,14,22.6,115.86334758704947
'11-12',NJN,25,1,8,4,9,15,22.1,103.38897140735239
'11-12',POR,20,1,8,2,7,16,21.5,117.75915774275612
'11-12',HOU,17,1,7,1,10,17,21.4,103.7
'11-12',IND,5,1,9,0,5,18,20.4,129.20000000000002
'11-12',DEN,11,1,7,3,6,19,20.4,100.9
'11-12',GSW,23,1,9,3,7,20,19.4,116.80000000000003
'11-12',ATL,8,1,8,2,5,21,19.2,107.52327306444136
'11-12',CLE,27,1,7,3,10,22,19.0,90.2
'11-12',PHI,16,1,7,2,6,23,18.9,105.69999999999999
'11-12',TOR,24,0,11,0,7,24,0,156.8
'11-12',MIL,19,0,11,1,5,25,0,159.2
'11-12',SAC,26,0,10,2,3,26,0,135.63718309859152
'11-12',DET,22,0,9,2,3,27,0,125.2
'11-12',NOH,28,0,10,2,10,28,0,121.34990039840636
'11-12',WAS,29,0,8,4,9,29,0,112.90065789473684
'11-12',CHA,30,0,7,5,4,30,0,104.10000000000001
'12-13',SAS,3,4,7,2,3,1,89.1,98.53267326732676
'12-13',LAL,13,4,6,1,5,2,86.8,63.6
'12-13',MIA,1,2,9,1,6,3,57.0,106.2
'12-13',LAC,5,2,6,3,4,4,50.4,82.4
'12-13',OKC,2,2,6,1,7,5,49.099999999999994,75.3
'12-13',MIN,22,2,7,3,7,6,46.8,99.39999999999999
'12-13',UTA,15,2,9,1,2,7,44.6,125.8
'12-13',DAL,17,2,8,2,11,8,43.3,115.8
'12-13',DEN,4,2,6,1,6,9,41.5,99.30000000000001
'12-13',ATL,14,2,7,2,7,10,41.3,86.3
'12-13',HOU,12,2,5,4,9,11,41.0,57.0
'12-13',GSW,10,2,4,4,6,12,40.9,62.13226544622425
'12-13',BOS,16,2,7,3,8,13,40.0,99.9
'12-13',CHI,11,2,7,1,5,14,39.3,94.29999999999998
'12-13',POR,21,1,6,5,3,15,22.7,72.66784565916399
'12-13',DET,23,1,7,3,5,16,22.0,94.7
'12-13',SAC,25,1,10,2,4,17,21.7,133.2
'12-13',CLE,28,1,9,3,6,18,21.4,112.69999999999999
'12-13',PHO,27,1,9,2,4,19,21.2,118.1
'12-13',NOH,26,1,7,5,6,20,21.2,88.0
'12-13',NYK,7,1,8,2,8,21,21.1,117.10000000000001
'12-13',MIL,18,1,9,2,6,22,20.5,136.2603773584906
'12-13',BRK,8,1,7,3,6,23,20.3,98.26921965317919
'12-13',MEM,6,0,11,1,8,24,0,164.2
'12-13',PHI,19,0,9,2,6,25,0,125.11174089068825
'12-13',TOR,20,0,10,3,5,26,0,152.0
'12-13',WAS,24,0,11,3,5,27,0,150.7
'12-13',IND,9,0,8,3,5,28,0,127.39999999999999
'12-13',CHA,29,0,8,3,7,29,0,106.56959578207383
'12-13',ORL,30,0,8,6,4,30,0,112.6
'13-14',BRK,14,5,6,2,6,1,105.19999999999999,88.0
'13-14',MIA,6,3,8,0,7,2,75.6,95.80000000000001
'13-14',OKC,2,3,5,4,6,3,71.6,61.2
'13-14',SAS,1,3,7,2,7,4,66.4,97.39999999999999
'13-14',NYK,19,3,6,2,7,5,65.80000000000001,82.95847632120795
'13-14',LAC,3,2,7,0,11,6,48.8,107.18058007566205
'13-14',CLE,22,2,9,2,8,7,43.099999999999994,126.0
'13-14',HOU,5,2,8,1,7,8,42.4,108.20000000000002
'13-14',DET,23,2,6,1,6,9,41.1,89.1
'13-14',DAL,10,2,8,0,5,10,40.8,128.78935185185188
'13-14',GSW,8,2,9,0,7,11,40.5,119.24520722869873
'13-14',CHA,16,2,8,2,7,12,39.7,101.08096839273706
'13-14',ATL,18,2,6,4,6,13,39.6,87.00000000000001
'13-14',POR,7,2,6,1,6,14,39.3,87.19999999999999
'13-14',NOP,21,1,10,3,7,15,21.7,136.1
'13-14',WAS,15,1,8,1,7,16,20.8,106.9
'13-14',MIN,17,1,10,2,4,17,20.2,134.29999999999998
'13-14',SAC,24,1,6,4,12,18,20.2,91.29274283587645
'13-14',IND,4,1,8,1,7,19,20.1,115.8
'13-14',DEN,20,1,8,5,2,20,19.7,121.69999999999999
'13-14',MEM,9,1,10,2,5,21,19.5,144.77351427737156
'13-14',TOR,12,0,12,0,8,22,0,170.07950339925674
'13-14',CHI,11,0,9,1,10,23,0,126.1
'13-14',ORL,28,0,9,2,5,24,0,131.3
'13-14',MIL,30,0,12,3,4,25,0,174.2
'13-14',BOS,26,0,10,3,6,26,0,131.88051492100644
'13-14',UTA,27,0,7,3,7,27,0,97.4
'13-14',PHO,13,0,6,4,5,28,0,81.19999999999999
'13-14',LAL,25,0,8,6,5,29,0,95.1
'13-14',PHI,29,0,4,7,12,30,0,57.8
'14-15',PHO,17,4,6,2,11,1,85.0,87.89999999999999
'14-15',CLE,7,3,9,1,7,2,76.3,123.10000000000001
'14-15',OKC,14,3,10,1,7,3,74.1,128.5
'14-15',HOU,3,3,6,2,9,4,63.9,73.1
'14-15',MIA,21,3,8,5,5,5,62.4,103.56583822864889
'14-15',SAS,6,3,8,1,5,6,60.7,123.0
'14-15',LAC,4,2,8,1,9,7,49.8,120.12315789473685
'14-15',DAL,10,2,9,1,7,8,47.1,129.5
'14-15',BRK,18,2,7,4,6,9,44.4,98.30000000000001
'14-15',GSW,1,2,7,3,3,10,43.2,97.2
'14-15',ATL,2,2,9,1,4,11,41.8,114.2
'14-15',CHI,9,2,7,2,3,12,39.3,84.44014129736672
'14-15',DEN,24,2,8,4,6,13,38.8,106.50000000000001
'14-15',NOP,13,1,9,3,8,14,26.5,130.79999999999998
'14-15',SAC,25,1,10,2,6,15,26.1,131.05883499885968
'14-15',NYK,29,1,10,7,2,16,24.4,136.6
'14-15',CHO,22,1,10,2,4,17,22.7,134.67432675044884
'14-15',DET,23,1,12,0,7,18,22.6,160.6892882311487
'14-15',POR,8,1,9,3,5,19,21.8,135.00594125500666
'14-15',MIN,30,1,9,5,10,20,20.7,115.5
'14-15',BOS,16,1,12,1,8,21,20.5,161.56575960045234
'14-15',TOR,11,1,9,0,5,22,20.1,139.2
'14-15',MEM,5,1,11,1,6,23,20.0,161.88099341104916
'14-15',WAS,12,1,9,3,5,24,19.5,133.1959349593496
'14-15',LAL,27,1,7,6,4,25,19.3,96.3
'14-15',UTA,20,1,5,5,11,26,19.0,75.19999999999999
'14-15',MIL,15,0,11,1,8,27,0,147.1373665480427
'14-15',IND,19,0,9,4,3,28,0,122.9
'14-15',ORL,26,0,9,4,2,29,0,116.89999999999999
'14-15',PHI,28,0,6,7,12,30,0,74.5
'15-16',OKC,5,3,9,1,4,1,77.0040281030445,110.91720811564684
'15-16',LAC,6,3,10,0,5,2,69.8,134.03119713672066
'15-16',MIA,10,3,7,3,6,3,67.4,109.31988636363636
'15-16',SAS,2,3,6,3,5,4,67.4,90.30000000000001
'15-16',UTA,19,3,6,4,4,5,63.6,76.0
'15-16',ATL,7,3,8,0,6,6,62.0,118.1
'15-16',NOP,25,2,11,1,7,7,50.7,145.60715456034953
'15-16',GSW,1,2,8,2,4,8,48.8,121.80000000000001
'15-16',CLE,3,2,8,0,8,9,47.4,111.23078760462798
'15-16',SAC,23,2,7,3,3,10,44.9,94.23914767096134
'15-16',CHI,16,2,10,2,2,11,44.0,130.59999999999997
'15-16',POR,13,2,7,1,6,12,40.7,90.60000000000001
'15-16',HOU,17,1,9,1,7,13,26.7,135.53483469094394
'15-16',BRK,28,1,9,3,4,14,22.7,117.31524239934264
'15-16',MEM,15,1,9,1,17,15,21.7,119.97815810920943
'15-16',ORL,20,1,10,2,4,16,21.5,129.7
'15-16',IND,11,1,8,3,4,17,21.5,110.30000000000001
'15-16',NYK,24,1,8,3,4,18,21.5,99.1480415667466
'15-16',DET,12,1,8,1,7,19,21.4,112.81111111111112
'15-16',MIL,22,1,8,3,5,20,21.2,114.63452768729641
'15-16',TOR,4,1,9,1,5,21,20.6,143.79999999999998
'15-16',BOS,8,1,9,0,6,22,20.520973348783315,132.42845528455285
'15-16',PHO,27,1,10,1,11,23,20.1,136.7
'15-16',WAS,18,1,9,1,8,24,19.9,118.13333333333333
'15-16',MIN,26,1,7,3,5,25,19.9,100.27147623019184
'15-16',LAL,29,1,5,6,3,26,19.9,80.4
'15-16',CHO,9,1,9,1,6,27,19.7,117.39999999999999
'15-16',DAL,14,0,8,3,5,28,0,130.2
'15-16',DEN,21,0,9,3,7,29,0,119.58069575848953
'15-16',PHI,30,0,9,3,6,30,0,106.9
'16-17',GSW,1,3,6,2,6,1,79.0,89.9
'16-17',SAS,2,3,7,2,4,2,70.1,100.89999999999999
'16-17',LAC,6,3,8,0,4,3,68.9,107.30000000000001
'16-17',NOP,21,3,6,2,15,4,68.3,71.2
'16-17',TOR,7,3,7,3,4,5,66.3,85.80000000000001
'16-17',OKC,10,2,6,3,8,6,51.6,81.4
'16-17',CLE,5,2,7,1,11,7,47.4,86.9
'16-17',MIN,24,2,8,1,5,8,43.8,113.2
'16-17',DEN,18,2,8,3,6,9,42.5,112.8
'16-17',CHI,15,2,9,3,4,10,41.6,126.7
'16-17',BOS,4,2,8,2,3,11,40.9,108.39999999999999
'16-17',DET,19,2,8,0,5,12,40.8,107.77344268046447
'16-17',MIA,17,1,8,2,4,13,25.7,91.59999999999998
'16-17',HOU,3,1,8,2,7,14,25.3,119.30000000000001
'16-17',SAC,23,1,10,2,6,15,23.6,121.4
'16-17',POR,16,1,11,0,3,16,22.2,150.89999999999998
'16-17',MIL,14,1,8,3,7,17,21.8,113.10000000000001
'16-17',BRK,30,1,7,5,8,18,21.7,92.05615103532278
'16-17',UTA,8,1,10,1,3,19,21.6,138.48024417314096
'16-17',ATL,11,1,8,3,8,20,21.3,109.3
'16-17',ORL,26,1,10,1,7,21,21.1,132.062063447567
'16-17',IND,13,1,11,0,4,22,20.9,155.70000000000002
'16-17',CHO,20,1,9,1,8,23,20.8,125.80000000000001
'16-17',NYK,25,1,7,4,4,24,20.3,96.41898029134533
'16-17',PHO,29,1,8,5,4,25,20.0,103.60000000000001
'16-17',WAS,9,1,10,1,6,26,19.8,139.89864947820746
'16-17',MEM,12,1,6,4,6,27,19.4,92.39999999999999
'16-17',LAL,28,0,9,3,6,28,0,125.69999999999999
'16-17',DAL,22,0,10,4,10,29,0,144.10000000000002
'16-17',PHI,27,0,10,4,7,30,0,134.60000000000002
'17-18',GSW,3,3,8,4,2,1,77.4,113.69999999999999
'17-18',HOU,1,3,9,0,12,2,75.0,118.44552772808588
'17-18',CLE,6,3,9,2,8,3,67.4,120.62304620650313
'17-18',TOR,2,3,5,3,7,4,67.0,67.91230388109001
'17-18',LAC,18,3,6,5,7,5,65.78069207622869,86.4
'17-18',NOP,9,2,7,2,12,6,53.23156186612576,92.1
'17-18',MIN,12,2,7,0,7,7,51.0,102.10000000000001
'17-18',OKC,10,2,8,2,5,8,50.8,93.6
'17-18',MIL,16,2,8,1,13,9,46.6,106.50000000000001
'17-18',NYK,22,2,7,2,10,10,44.2,93.1
'17-18',POR,7,2,6,2,6,11,44.0,78.46103522645578
'17-18',DET,19,2,8,3,9,12,43.5,101.0
'17-18',WAS,17,2,8,1,4,13,43.3,103.6
'17-18',MIA,15,2,7,1,9,14,42.400000000000006,94.2
'17-18',CHO,20,2,7,3,5,15,42.1,100.4
'17-18',DEN,14,1,9,2,6,16,26.3,129.33500931098698
'17-18',PHI,5,1,10,2,10,17,24.1,138.62031304810824
'17-18',UTA,11,1,9,3,8,18,23.3,117.9
'17-18',BOS,4,1,6,5,8,19,23.0,76.4
'17-18',LAL,21,1,6,5,12,20,20.4,74.0
'17-18',MEM,29,1,6,7,10,21,20.3,59.0
'17-18',SAS,13,1,9,3,4,22,20.2,127.0
'17-18',SAC,25,1,7,4,6,23,19.3,100.12531779661016
'17-18',BRK,23,0,9,1,12,24,0,112.60000000000001
'17-18',DAL,28,0,9,2,12,25,0,134.0
'17-18',PHO,30,0,10,2,10,26,0,130.6
'17-18',IND,8,0,7,2,10,27,0,95.89049447911665
'17-18',ORL,26,0,12,3,4,28,0,155.74608695652176
'17-18',CHI,24,0,10,3,8,29,0,121.9
'17-18',ATL,27,0,9,5,8,30,0,111.72177884615385
'18-19',HOU,5,3,6,3,11,1,78.7,78.25953865336658
'18-19',GSW,3,3,8,1,5,2,76.8,113.69999999999999
'18-19',PHI,7,3,7,3,13,3,66.6,99.314167916042
'18-19',LAL,20,2,10,1,9,4,50.900000000000006,130.1
'18-19',POR,6,2,7,4,5,5,49.2,92.509900990099
'18-19',NOP,24,2,8,4,6,6,48.8,112.1493091836372
'18-19',MIL,1,2,8,1,13,7,47.3,103.37522225073636
'18-19',SAS,13,2,7,1,6,8,46.0,93.03785310734463
'18-19',OKC,10,2,7,2,7,9,45.3,83.7
'18-19',NYK,30,2,6,6,9,10,45.0,66.5
'18-19',LAC,12,2,7,4,9,11,44.9,89.21416791604199
'18-19',IND,11,2,8,2,5,12,44.2,114.43936651583711
'18-19',DET,16,2,10,2,6,13,42.498527918781726,129.20000000000002
'18-19',TOR,2,2,9,1,10,14,42.0,121.89999999999999
'18-19',CLE,28,2,7,3,15,15,41.8,89.2077823460312
'18-19',BOS,9,1,9,1,6,16,25.0,119.6
'18-19',MIN,21,1,9,3,8,17,24.9,123.70000000000002
'18-19',DEN,4,1,8,2,7,18,24.4,119.39999999999999
'18-19',MIA,18,1,10,2,5,19,24.1,142.89999999999998
'18-19',MEM,23,1,9,5,13,20,22.5,130.20000000000002
'18-19',UTA,8,1,8,2,7,21,20.7,115.71358851674641
'18-19',CHO,17,1,10,3,3,22,20.6,131.0
'18-19',DAL,22,1,10,3,7,23,20.2,143.36246268656717
'18-19',ORL,15,1,9,2,5,24,19.7,118.3
'18-19',WAS,25,1,11,3,10,25,19.7,164.10000000000002
'18-19',CHI,27,1,10,5,6,26,19.7,132.6
'18-19',ATL,26,1,5,5,11,27,19.4,72.2
'18-19',BRK,14,0,12,1,6,28,0,167.1
'18-19',SAC,19,0,9,3,8,29,0,124.9
'18-19',PHO,29,0,9,5,10,30,0,118.5
